pid,batRI,bowlRI,clusterRI
230.0,-0.09182452642073778,0.0,0
233.0,-0.071630615640599,-3.0701974811221986e-19,0
237.0,0.08033057851239675,1.4298547900878891e-18,0
256.0,0.03125466054986383,0.2995529061102832,0
261.0,-0.03512486901851204,0.1597583849944365,0
278.0,-0.13120409133966993,1.4762966303478404,1
279.0,-0.13432187612630722,1.6572424117501954,1
280.0,-0.08167005284913006,1.6928699133333525,1
282.0,-0.2,0.38007662835249056,0
289.0,-0.07778132375286456,0.030166112278308028,0
292.0,0.07438016528925621,1.3551694178974802,1
307.0,0.039229671897289584,1.6658718330849485,1
317.0,-0.17929178470254958,0.6760904333034413,4
319.0,-0.07813264120875507,5.214683903542403e-19,0
320.0,-0.19491342243280319,0.6457869076293702,4
334.0,-0.14135490394337716,1.031653888280394,4
343.0,-0.04669279823551976,1.0393963207738546,4
348.0,0.013073939972655949,0.4434884786491106,4
349.0,-0.008946837310335874,0.5505099781213106,4
357.0,-0.17622504537205086,0.0,0
358.0,-0.1,0.8152637301990612,4
359.0,-0.17174887892376678,-1.1369235007798342e-18,0
363.0,-0.09651046859421736,1.0677105831533475,4
373.0,-0.25,1.28568024848555,1
374.0,0.021961932650073197,1.1003140520011687,4
389.0,-0.10684573330164013,1.6181102601263169,1
390.0,-0.2,1.5887556089460477,1
392.0,-0.003792037784313441,1.8651816159239543,1
393.0,-0.07053242918857318,0.0,0
394.0,0.13961979640679814,0.42777346257296583,4
395.0,0.033913043478260865,0.0,0
396.0,-0.22840466926070038,1.1176871473438916,4
405.0,-0.0612231700500682,0.0,0
409.0,-0.2,1.1195071868583162,4
418.0,-0.5978980147917476,3.1437884151536606,2
419.0,-0.0797809829059829,0.5729786037462695,4
422.0,-0.20277634961439586,1.4470855662849261e-18,0
425.0,-0.27765662275482583,1.7561334506172728,1
426.0,-0.09071288423806408,-0.12600682593856655,0
427.0,-0.1803193373035552,0.3694837871788034,0
428.0,-0.07906786690085871,0.0,0
429.0,-0.2335360802267277,0.9558275484106685,4
430.0,-0.12462606837606839,0.47581050034036754,4
431.0,-0.04176804011336386,1.1299523698807588,4
432.0,-0.031800626273111074,0.5556851490436187,4
433.0,-0.35,0.9497097802938054,4
439.0,-0.09370464827851241,-3.14563190310461e-19,0
443.0,-0.12741112743582217,1.7546910299096967,1
447.0,-0.026234111057710213,-0.0004285714285714284,0
450.0,-0.1453834680209781,0.8773267751994844,4
454.0,0.01200873362445415,0.5104072398190045,4
458.0,-0.46054901960784317,4.323496592439351,2
462.0,-0.16666666666666666,1.226159467719847,4
464.0,-0.23050158244704164,1.1644755311850858,4
468.0,-0.05105969612751073,0.0,0
477.0,-0.14395523157154153,2.9231780532521237e-19,0
487.0,-0.19279875437913585,0.0,0
489.0,0.002622169249106074,0.0,0
493.0,0.3299583911234396,1.0429367807084806e-18,0
494.0,-0.17927762443126719,1.106958586467441,4
495.0,0.011980278442538517,-3.14563190310461e-19,0
497.0,0.044110157670536006,0.4906855439642326,4
503.0,-0.08696853529697453,0.7800263217020569,4
