,batAGR,batRI,bowlAGR,bowlRI,pid,series_code
8203,-78.5355914088854,-0.15826564048178426,14.70215827338129,0.030097118133998006,3058.0,528.0
8204,-96.10370201609501,-0.19366905729479225,0.0,0.0,3059.0,528.0
8205,-39.62442810555187,-0.0798515091100475,103.33525179856115,0.21153991291323834,3060.0,528.0
8206,-113.16001951443727,-0.22804110396445534,-1516.9487715487985,-3.105379872231994,29.0,528.0
8207,-123.28158749171138,-0.24843818011637656,0.0,0.0,1794.0,528.0
8208,0.0,0.0,-1044.6910275553141,-2.138610446521114,1959.0,528.0
8209,247.62693563807346,0.4990200604113268,0.0,0.0,2031.0,528.0
8210,-129.8714977205377,-0.26171822734557026,-1531.6215603653136,-3.135416867491758,2032.0,528.0
8211,-76.96212101332208,-0.15509476858197985,74.28201438848922,0.1520643786245627,2113.0,528.0
8212,452.2388575708,0.911355872671194,0.0,0.0,2129.0,528.0
8213,-192.83540532997765,-0.38860366853569644,-1463.3156780236186,-2.9955863628911468,2152.0,528.0
8214,31.81318154379407,0.06411021375745574,-5.824460431654678,-0.011923383656921513,2261.0,528.0
8215,85.65016138760623,0.172602986826735,-247.16340437084295,-0.5059737517054722,2982.0,528.0
8216,-19.602628483935135,-0.039503395804127844,0.0,0.0,3056.0,528.0
8217,-158.56832268949307,-0.3195483308951762,0.0,0.0,289.0,528.0
8218,71.39415879203088,0.1438741603033322,0.0,0.0,549.0,528.0
8219,100.87164610645607,0.2032774617354438,-1216.2745758110493,-2.489862978678471,550.0,528.0
8220,-50.5209381717403,-0.10181025563126372,-571.135441835211,-1.1691841798866816,2065.0,528.0
8221,-37.19611190499728,-0.07495794414315042,56.335251798561146,0.11532515818168176,2222.0,528.0
8222,1.9529759504491082,0.003935654957178811,0.0,0.0,2975.0,528.0
8223,-54.88400389336306,-0.11060274548852632,-436.94565152909115,-0.8944812487849297,2990.0,528.0
8224,-78.5355914088854,-0.15826564048178426,14.70215827338129,0.030097118133998006,3058.0,528.0
8225,-96.10370201609501,-0.19366905729479225,0.0,0.0,3059.0,528.0
8226,-39.62442810555187,-0.0798515091100475,103.33525179856115,0.21153991291323834,3060.0,528.0
8227,0.0,0.0,26.57985611510791,0.05441221993436536,3061.0,528.0
8228,-113.16001951443727,-0.22804110396445534,-1516.9487715487985,-3.105379872231994,29.0,528.0
8229,-123.28158749171138,-0.24843818011637656,0.0,0.0,1794.0,528.0
8230,0.0,0.0,-1044.6910275553141,-2.138610446521114,1959.0,528.0
8231,247.62693563807346,0.4990200604113268,0.0,0.0,2031.0,528.0
8232,-129.8714977205377,-0.26171822734557026,-1531.6215603653136,-3.135416867491758,2032.0,528.0
8233,0.0,0.0,-758.772227501018,-1.5532996545984534,2083.0,528.0
8234,452.2388575708,0.911355872671194,0.0,0.0,2129.0,528.0
