series_code,match_code,team,pid,name,notout,runs,ballfaced,fours,sixes,overs,maiden_overs,runs_given,wickets_taken
2664,19796,Vidarbha,6286,Shrikant Wagh,0,2,3,0,0,8.0,1,26,3
2664,19796,Vidarbha,8273,Wankhade,0,11,17,1,0,0.0,0,0,0
2664,19796,Vidarbha,9257,Ravi Jangid,0,15,21,1,0,7.0,0,24,1
2664,19796,Vidarbha,10214,Jitesh Sharma,0,41,65,4,0,0.0,0,0,0
2664,19796,Vidarbha,10247,Sanjay Ramaswamy,0,29,40,2,0,0.0,0,0,0
2664,19796,Vidarbha,10885,Akshay Karnewar,0,18,20,1,1,3.0,0,13,0
2664,19796,Vidarbha,12096,Yash Thakur,0,0,2,0,0,6.4,0,33,2
2664,19806,Vidarbha,1596,Faiz Fazal,0,103,97,9,3,0.0,0,0,0
2664,19806,Vidarbha,1858,Umesh Yadav,1,0,0,0,0,7.0,2,19,1
2664,19806,Vidarbha,2215,Ganesh Satish,0,29,29,1,1,0.0,0,0,0
2664,19806,Vidarbha,6286,Shrikant Wagh,1,0,0,0,0,5.0,0,20,2
2664,19806,Vidarbha,8273,Wankhade,0,66,43,3,5,0.0,0,0,0
2664,19806,Vidarbha,9257,Ravi Jangid,0,81,62,6,3,1.0,0,1,0
2664,19806,Vidarbha,10214,Jitesh Sharma,0,9,21,1,0,0.0,0,0,0
2664,19806,Vidarbha,10247,Sanjay Ramaswamy,0,39,44,3,0,0.2,0,0,1
2664,19806,Vidarbha,10885,Akshay Karnewar,0,6,4,1,0,5.0,0,14,1
2664,19806,Vidarbha,12096,Yash Thakur,1,0,0,0,0,6.0,1,21,1
2664,19820,Vidarbha,1596,Faiz Fazal,0,20,38,2,0,0.0,0,0,0
2664,19820,Vidarbha,1858,Umesh Yadav,0,6,3,0,1,7.0,0,30,1
2664,19820,Vidarbha,2215,Ganesh Satish,0,7,9,1,0,0.0,0,0,0
2664,19820,Vidarbha,6286,Shrikant Wagh,0,28,35,0,1,10.0,1,39,1
2664,19820,Vidarbha,8273,Wankhade,0,73,77,10,1,0.0,0,0,0
2664,19820,Vidarbha,9257,Ravi Jangid,0,6,13,1,0,6.0,0,36,0
2664,19820,Vidarbha,10214,Jitesh Sharma,0,2,7,0,0,0.0,0,0,0
2664,19820,Vidarbha,10247,Sanjay Ramaswamy,0,0,4,0,0,2.0,0,10,0
2664,19820,Vidarbha,10885,Akshay Karnewar,0,45,41,3,2,5.0,0,30,1
2664,19820,Vidarbha,10887,Rajneesh Gurbani,0,13,8,2,0,10.0,1,47,2
2664,19856,Vidarbha,1596,Faiz Fazal,0,6,17,0,0,0.0,0,0,0
2664,19856,Vidarbha,2215,Ganesh Satish,0,13,21,0,0,0.0,0,0,0
2664,19856,Vidarbha,6286,Shrikant Wagh,0,2,10,0,0,8.0,1,35,1
2664,19856,Vidarbha,8273,Wankhade,0,3,5,0,0,0.0,0,0,0
2664,19856,Vidarbha,9257,Ravi Jangid,0,22,20,2,1,5.0,0,25,0
2664,19856,Vidarbha,10214,Jitesh Sharma,0,55,69,5,0,0.0,0,0,0
