batAGR,batRI,bowlAGR,bowlRI,pid,series_code
-52.92307692307692,-0.16049766718507,-527.699769366436,-1.6437932112852243,2677.0,192.0
-45.923076923076934,-0.1392690513219285,0.0,0.0,2733.0,192.0
-62.92307692307692,-0.19082426127527216,-491.18045644915105,-1.5300349681722758,2744.0,192.0
-64.94871794871794,-0.19696734059097978,-241.25722425722427,-0.7515201075105229,2762.0,192.0
-58.94871794871795,-0.17877138413685847,0.0,0.0,2861.0,192.0
-21.97435897435897,-0.0666407465007776,-889.3976004854558,-2.7704877331415956,2960.0,192.0
30.076923076923073,0.09121306376360808,0.0,0.0,2998.0,192.0
-58.948717948717935,-0.17877138413685845,-650.181628605657,-2.0253261593946186,3010.0,192.0
-19.92307692307692,-0.06041990668740279,0.0,0.0,986.0,192.0
-75.92307692307693,-0.23024883359253503,-178.1180301180301,-0.5548405091536082,1794.0,192.0
