pid,name,yob,cid,iscurrent
4370,T Bavuma,1990,8,1
4373,J L Carter,1987,10,1
4380,P V D Chameera,1992,9,1
4383,A J Tye,1986,2,1
4386,T M Head,1993,2,1
4387,S S Iyer,1994,5,1
4389,M P Stoinis,1989,2,1
4390,J Yadav,1990,5,1
4393,S N Thakur,1991,5,1
4399,H H Pandya,1993,5,1
4412,Mohammad Rizwan,1992,7,1
4413,Sami Aslam,1995,7,1
4414,Mustafizur Rahman,1995,3,1
4417,S D Hope,1993,10,1
4418,Z S Ansari,1991,4,1
4419,J M Vince,1991,4,1
4420,D J Willey,1990,4,1
4421,M A Wood,1990,4,1
4423,Imad Wasim,1988,7,1
4425,Babar Azam,1994,7,1
4427,S O Dowrich,1991,10,1
4428,S W Billings,1991,4,1
4429,M J Santner,1992,6,1
4430,Liton Das,1994,3,1
4432,B M Wheeler,1991,6,1
4453,T A M Siriwardana,1985,9,1
4454,S S Pathirana,1989,9,1
4459,T Muzarabani,1987,11,1
4472,D M de Silva,1991,9,1
4474,J D F Vandersay,1990,9,1
4475,G S N F G Jayasuriya,1991,9,1
4476,M D Shanaka,1991,9,1
4477,G H Worker,1989,6,1
4480,Aamer Yamin,1990,7,1
4481,Bilal Asif,1985,7,1
4482,W P Masakadza,1993,11,1
4483,T S Chisoro,1988,11,1
4484,Rashid Khan,1998,1,1
4485,B K G Mendis,1995,9,1
4487,M D Gunathilaka,1991,9,1
4488,Iftikhar Ahmed,1990,7,1
4506,Sayed Shirzad,1994,1,1
4507,Yamin Ahmadzai,1992,1,1
4509,H M Nicholls,1991,6,1
4511,S M Boland,1989,2,1
4512,B B Sran,1992,5,1
4514,Nurul Hasan,1993,3,1
4515,Abu Hider,1996,3,1
4516,Mosaddeck Hossain,1995,3,1
4527,A Zampa,1992,2,1
4531,C A K Rajitha,1993,9,1
4532,D A S Gunaratne,1986,9,1
4536,Mohammad Nawaz,1994,7,1
4538,E Lewis,1991,10,1
4539,K K Ahmed,1997,5,1
4542,R R Pant,1997,5,1
4557,D L Chahar,1992,5,1
4558,P S P Handscomb,1991,2,1
4562,T Shamsi,1990,8,1
4564,K M C Bandara,1987,9,1
4566,L A Dawson,1990,4,1
4568,J T Ball,1991,4,1
4570,R L Chase,1992,10,1
4571,P A D L R Sandakan,1991,9,1
4572,P S Masvaure,1988,11,1
4574,M V T Fernando,1991,9,1
4575,A S Joseph,1996,10,1
4579,Hasan Ali,1994,7,1
4580,M A Aponso,1993,9,1
4581,W I A Fernando,1998,9,1
4587,N Pooran,1995,10,1
4588,A L Phehlukwayo,1996,8,1
4589,D Pretorius,1989,8,1
4590,Naveen -ul-Haq,1999,1,1
4592,K O K Williams,1990,10,1
4593,Rumman Raees,1991,7,1
4595,J M Mennie,1988,2,1
4596,B M Duckett,1994,4,1
4598,Mehidy Hasan Miraz,1997,3,1
4599,C B R L S Kumara,1997,9,1
4600,C T Mumba,1995,11,1
4601,K A Maharaj,1990,8,1
4605,R Powell,1993,10,1
4608,T K Musakanda,1994,11,1
4609,L H Ferguson,1991,6,1
4611,Karim Janat,1998,1,1
4615,Hazratullah Zazai,1998,1,1
4619,Subashis Roy,1988,3,1
4621,H W R Cartwright,1992,2,1
4624,T A Blundell,1990,6,1
4625,D Olivier,1992,8,1
4626,B Stanlake,1994,2,1
4633,Najmul Hossain Shanto,1998,3,1
4636,L Ngidi,1996,8,1
4637,J T Smuts,1988,8,1
4641,D Paterson,1989,8,1
4644,L D Madushanka,1992,9,1
4645,R P Burl,1994,11,1
4646,R Ngarava,1997,11,1
4648,A J Turner,1993,2,1
4650,J A Richardson,1996,2,1
4651,Ihsanullah,1997,1,1
4652,Kuldeep Yadav,1994,5,1
4653,Shadab Khan,1998,7,1
4654,Fakhar Zaman,1990,7,1
4656,N A Saini,1992,5,1
4675,Mohammed Siraj,1994,5,1
4677,Mohammad Saifuddin,1996,3,1
4681,S O Hetmeyer,1996,10,1
4683,Mohammad Abbas,1990,7,1
4684,Washington Sundar,1999,5,1
4685,S C Kuggeleijn,1992,6,1
4686,S H A Rance,1987,6,1
4688,Sunzamul Islam,1990,3,1
4689,T S Roland-Jones,1988,4,1
4690,Faheem Ashraf,1994,7,1
4693,T K Curran,1995,4,1
4694,D J Malan,1987,4,1
4695,K A Hope,1988,10,1
4696,P W H de Silva,1997,9,1
4697,A M Fernando,1997,9,1
4699,P M Pushpakumara,1987,9,1
4701,A K Markram,1994,8,1
4702,S W Ambris,1993,10,1
4704,S Samarawickrama,1995,9,1
4705,J P Behrendorff,1990,2,1
4706,Imam-ul-Haq,1995,7,1
4707,P W A Mulder,1998,8,1
4712,C Overton,1994,4,1
4714,Mujeeb Ur Rahman,2001,1,1
4716,R A Reifer,1991,10,1
4718,R R Beaton,1992,10,1
4719,B Muzarabani,1996,11,1
4726,A T Carey,1991,2,1
4728,D S K Madushanka,1995,9,1
4729,D J M Short,1990,2,1
4730,K Zondo,1990,8,1
4731,H Klaasen,1991,8,1
4732,T L Seifert,1994,6,1
4734,Afif Hossain,1999,3,1
4735,Ariful Haque,1992,3,1
4736,Nazmul Islam,1992,3,1
4738,Abu Jayed,1993,3,1
4739,C J Dala,1989,8,1
4740,C Jonker,1986,8,1
4742,K M A Paul,1998,10,1
4746,Hussain Talat,1996,7,1
4747,Asif Ali,1991,7,1
4759,P P Shaw,1999,5,1
4769,Shubman Gill,1999,5,1
4777,J C Archer,1995,4,1
4782,Zahir Khan,1998,1,1
4787,S M Curran,1998,4,1
4798,Shaheen Shah Afridi,2000,7,1
4800,B A Mavuta,1997,11,1
4802,R C Murray,1998,11,1
4803,L N Roche,1999,11,1
4804,T S Kamunhukamwe,1995,11,1
4805,N G R P Jayasuriya,1991,9,1
4816,M Labuschagne,1994,2,1
4817,H E van der Dussen,1989,8,1
4819,O P Stone,1993,4,1
4821,C Hemraj,1993,10,1
4822,O R Thomas,1997,10,1
4823,Fazle Mahmud,1987,3,1
4825,O C McCoy,1997,10,1
4826,F A Allen,1995,10,1
4827,P H K D Mendis,1998,9,1
4830,K Pierre,1991,10,1
4832,B T Foakes,1993,4,1
4840,J D Campbell,1993,10,1
4848,J N Malan,1996,8,1
4849,L Sipamla,1998,8,1
4852,B O P Fernando,1992,9,1
4928,Ikram Ali Khil,2000,1,1
4929,A Nortje,1993,8,1
4945,S Dube,1993,5,1
4950,P A R P Perera,1995,9,1
4956,H R Walsh,1992,10,1
4991,Mohammad Hasnain,2000,7,1
4992,Abid Ali,1987,7,1
4993,Saad Ali,1993,7,1
5249,A Ndlovu,1996,11,1
5471,Ibrahim Zadran,2001,1,1
5479,B C Fortuin,1994,8,1
5500,M Bhanuka,1995,9,1
5658,S Mahmood,1997,4,1
5659,Mohammad Naim,1999,3,1
5660,T Banton,1998,4,1
5661,M W Parkinson,1996,4,1
5662,R Shepherd,1994,10,1
5665,B A King,1994,10,1
5774,K A Jamieson,1994,6,1
5787,C K Tshuma,1993,11,1
5829,K Verreynne,1997,8,1
5830,W N Madhevere,2000,11,1
5839,D M Dupavillon,1994,8,1
