pid,name,yob,team,iscurrent
8731,Rameez Khan,1998,Madhya Pradesh,1
8733,Lokesh Rahul,1998,Karnataka,1
8734,Ronit More,1998,Himachal Pradesh,1
8735,KB Pawan,1998,NAGALAND,1
8740,Sanjay Majumder,1998,Tripura,1
8741,Rana Dutta,1998,Tripura,1
8744,K Acharjee,1998,Tripura,1
8748,Rajib Saha,1998,Tripura,1
8749,Samrat Singha,1998,Tripura,1
8755,Bandaru Ayyappa,1998,Andhra,1
8758,Prasanth Kumar,1998,Andhra,1
8759,Duvvarapu Siva Kumar,1998,Andhra,1
8760,Pallavkumar Das,1998,Assam,1
8762,Rajdeep Das,1998,Assam,1
8763,Hokaito Zhimomi,1998,NAGALAND,1
8764,Pritam Debnath,1998,Assam,1
8765,Arup Das,1998,Assam,1
8768,Sibsankar Roy,1998,Assam,1
8769,Amit Sinha,1998,Assam,1
8770,Tarjinder Singh,1998,Assam,1
8772,Manan Sharma,1998,Delhi,1
8773,Milind Kumar,1998,Delhi,1
8774,Avinash Yadav,1998,Railways,1
8775,V Cheluvaraj,1998,Railways,1
8777,Hardik Rathod,1998,Saurashtra,1
8778,S Shukla,1998,Railways,1
8780,Ashish Yadav,1998,Railways,1
8785,Shakti Malviya,1998,Services,1
8786,Shadab Nazar,1998,Services,1
8787,Rajat Paliwal,1998,Services,1
8789,Nakul Harpal Verma,1998,Services,1
8791,Anshul Gupta,1998,Services,1
8794,Soumya Swain,1998,Services,1
8795,Suraj Yadav,1998,Services,1
8796,Murugan Ashwin,1998,Tamil Nadu,1
8797,M Mohammed,1998,Tamil Nadu,1
8806,Manjeet Singh,1998,Rajasthan,1
8808,Axar Patel,1998,Gujarat,1
8810,Priyank Panchal,1998,Gujarat,1
8811,Mehul Patel,1998,Gujarat,1
8813,Bhargav Merai,1998,Gujarat,1
8816,Rakesh Solanki,1998,Tripura,1
8817,Aditya Waghmode,1998,Baroda,1
8819,Abhimanyu Chauhan,1998,Chhattisgarh,1
8822,A Kumar,1998,Himachal Pradesh,1
8825,Sumeet Verma,1998,Himachal Pradesh,1
8831,Aamir Aziz Sofi,1998,Jammu and Kashmir,1
8834,Ram Dayal,1998,Jammu and Kashmir,1
8835,Manik Gupta,1998,Jammu and Kashmir,1
8837,Parvez Rasool,1998,Jammu and Kashmir,1
8839,Bandeep Singh,1998,Jammu and Kashmir,1
8843,Mohammed Mudhasir,1998,Jammu and Kashmir,1
8846,Sheldon Jackson,1998,Saurashtra,1
8849,Shaurya Sanandia,1998,Saurashtra,1
8850,Arpit Vasavada,1998,Saurashtra,1
8853,Sanjay Budhwar,1998,Haryana,1
8855,Chanderpal Saini,1998,Railways,1
8883,Domnic Muthuswami,1998,Maharashtra,1
8884,Anupam Sanklecha,1998,Maharashtra,1
8885,Reagan Pinto,1998,Goa,1
8887,Saurabh Bandekar,1998,Goa,1
8888,Amogh Sunil Desai,1998,Goa,1
8890,Keenan Vaz,1998,Goa,1
8893,Sagun Kamat,1998,Goa,1
8898,Darshan Misal,1998,Goa,1
8899,Malolan Rangarajan,1998,Tamil Nadu,1
8901,Rujul Bhatt,1998,Gujarat,1
8918,Kushang Patel,1998,Saurashtra,1
8919,Saurabh Wakaskar,1998,Railways,1
8920,Rahul Dalal,1998,ARUNACHALPRADESH,1
8922,Rahul Singh,1998,Himachal Pradesh,1
8923,Satyajeet Bachhav,1998,Maharashtra,1
8924,Rajpoot,1998,Uttar Pradesh,1
8925,Gowtham K,1998,Karnataka,1
8932,A Verma,1998,Railways,1
8933,Vaibhav Rawal,1998,Delhi,1
8934,Samit Gohel,1998,Gujarat,1
8935,Kolla Sumanth,1998,Hyderabad,1
8936,Ravi Kiran,1998,Hyderabad,1
8937,Shubham Khajuria,1998,Jammu and Kashmir,1
8941,Aditya Singh,1998,Jammu and Kashmir,1
8944,Sandeep Warrier,1998,Kerala,1
8945,Chovvakkaran Shahid,1998,Kerala,1
8948,Dasari Swaroop,1998,Andhra,1
8949,Akshay Wakhare,1998,Vidarbha,1
8954,Pritam Das,1998,Assam,1
8955,K Saikia,1998,Assam,1
8957,Waseem Raza,1998,Jammu and Kashmir,1
8961,K Abhinay,1998,Himachal Pradesh,1
8962,Baltej Singh,1998,Punjab,1
8963,Ravi Inder Singh,1998,Punjab,1
8964,Arindam Das,1998,Tripura,1
8978,OA Shah,1998,Jammu and Kashmir,1
8979,Nizar Niyas,1998,Kerala,1
8992,Sudip Chatterjee,1998,Bengal,1
8995,Mehdi Hassan,1998,Hyderabad,1
8996,Nikhil Gangta,1998,Himachal Pradesh,1
8999,Nikit Dhumal,1998,Maharashtra,1
9001,Vikas Tokas,1998,Delhi,1
9002,Ravikumar Thakur,1998,Vidarbha,1
9005,Murumulla Sriram,1998,Andhra,1
9007,Jesal Karia,1998,Gujarat,1
9010,Zahoor Ahmed Sofi,1998,Jammu and Kashmir,1
9012,Rahul Tripathi,1998,Maharashtra,1
9013,Suresh Kumar,1998,PUDUCHERRY,1
